Artikel,Umsatz,Kumulative Prozentanteile,ABC-Klasse
caffè crema,284437.4,32.714646977277695,A
Butter-Gipfel / Croissant of,142088.7,49.05701847961993,A
Gallusbrot 400   of,72606.85,57.407915604548485,A
Laugen-Gipfel          of,41072.4,62.131869158158324,A
Butterzopf       440   2-teilig ,36642.65,66.34633377871084,A
St. Galler Handbürli Culinarium *Gold prämiert*,35692.5,70.45151663172695,A
St. Galler Handb dk. Culinarium *Gold prämiert*,30066.05,73.90957176706141,A
Berliner m Confi Himbeer of,28192.75,77.15216877986157,A
Körnergipfel of,26048.75,80.14817303404672,B
Nuss-Stengel Original,25026.3,83.02657991600896,B
Pain Roule rustico klein  of,24902.9,85.89079391251732,B
Weggli,24346.95,88.6910651645518,B
Mais-Gipfel of,20904.5,91.09540206868783,B
Erdbeertörtli gross    ,17885.95,93.15255960178031,B
Mais-Brötli süss   of,17622.25,95.17938760574648,C
Sonnenblumenbrötli  of,14283.6,96.8222198477957,C
Semmel                 of,14170.8,98.45207836635059,C
Ziger-Krapfen          of,13458.4,100.00000000000003,
